DriX 8 Endurance with EM2040 Gondola

RPM,SOG - M/S*,SOG - KNOTS*,LPH,PCT / HR,NM / LITER,
0,0.0,0.0,0.0,0.0,0,
1000,1.907687,3.708247,0.971029,0.388412,3.818882,dagger
1250,2.384609,4.635309,1.299149,0.51966,3.567957,dagger
1500,2.861531,5.562371,1.707297,0.682919,3.257998,
1750,3.338452,6.489432,2.218414,0.887365,2.925258,
2000,3.815374,7.416494,2.85544,1.142176,2.597321,
2250,4.292296,8.343556,3.641319,1.456528,2.291355,
2500,4.769218,9.270618,4.598991,1.839596,2.015794,
2750,5.246139,10.197679,5.751397,2.300559,1.773079,
3000,5.723061,11.124741,7.121478,2.848591,1.562139,
* NOTE Actual SOG will vary with conditions - these are nominal values ONLY
M/S / Knot,1.94384
Tank L,250

Whole-knot chart source
KNOTS,RPM*,LPH,NM / LITER
4,1079,1.067051,3.748649,dagger
5,1348,1.448888,3.450922,dagger
6,1618,1.934341,3.101831,
7,1888,2.552204,2.742727,
8,2157,3.33127,2.401486,
9,2427,4.300333,2.092861,
10,2697,5.488186,1.822096,
11,2966,6.923621,1.588764,

"Source: DriX-8 MCAP logs 04-09 Aug 2026 (EM2040 fitted) — 4.85 h steady cruise, flow meter vs thruster RPM."
"Fuel law (through origin) L/H = 1.0038e-03·RPM -2.7743e-07·RPM² +2.4471e-10·RPM³  (R² 0.9996),"
"anchored by (0,0) and the measured 0.95 L/H station-keeping figure at ~1005 rpm."
"Speed law (through origin) KNOTS = 0.003708·RPM  (R² 0.949; SOG-based, ±5-8% tidal)."
"Both agree with the primary in-band laws (planner model.json) to ≤3.7% in-window, 0.3% at 8 kt."
"Drivetrain: direct drive, shaft rpm = engine rpm (trawling motor unused). 0 rpm = engine OFF = 0 L/H."
The engine idles at ~1000 rpm (≈0.95 L/H — the 1000 row) and engages at ~1100 minimum:
the 0-1000 rpm band is not an operating region; the curve merely passes through it.
† outside the cruise-measured 1400-3100 rpm window (extrapolated toward the idle/origin anchors).
"PCT/HR is computed on the 250 L nominal tank (cell B16), which implies 2.50 L per indicated point."
THE GAUGE IS MEASURED AT 2.06 ± 0.11 L/POINT (72-86% band) — 4σ below that — so the needle
falls about 21% FASTER than this column shows. Set B16 = 206 to read PCT/HR on the measured scale.
"The 25% floor is a needle position: on the measured scale a mission may spend about 154 L before reaching it, against 188 L on a linear tank."
"Gauge non-linearity is UNRESOLVED (per-day spread only 1.5σ), not established; every reading is from the top third"
of the tank and the reserve band itself has never been calibrated. See DriX8_Fuel_Gauge_Linearity.docx.
Full derivation: DriX_Fuel_Efficiency_Report §5.5 and the AndyMcLeod/DriX-Fuel-Planner repo.
