DriX 8 Endurance with EM2040 Gondola

RPM,SOG - M/S*,SOG - KNOTS*,LPH,PCT / HR,NM / LITER,
0,0.0,0.0,0.0,0.0,0,
1000,1.898518,3.690423,1.125201,0.45008,3.279791,dagger
1250,2.373147,4.613029,1.440935,0.576374,3.201413,dagger
1500,2.847777,5.535635,1.822169,0.728868,3.037937,
1750,3.322406,6.45824,2.294765,0.917906,2.814336,
2000,3.797035,7.380846,2.884586,1.153835,2.558719,
2250,4.271665,8.303452,3.617495,1.446998,2.29536,
2500,4.746294,9.226058,4.519354,1.807742,2.041455,
2750,5.220924,10.148664,5.616027,2.246411,1.807089,
3000,5.695553,11.071269,6.933376,2.773351,1.596808,
* NOTE Actual SOG will vary with conditions - these are nominal values ONLY
M/S / Knot,1.94384
Tank L,250

Whole-knot chart source
KNOTS,RPM*,LPH,NM / LITER
4,1084,1.225442,3.264128,dagger
5,1355,1.591373,3.141942,dagger
6,1626,2.046996,2.931124,
7,1897,2.625246,2.666417,
8,2168,3.359054,2.381623,
9,2439,4.281354,2.102139,
10,2710,5.425078,1.843292,
11,2981,6.823158,1.612157,

"Source: DriX-8 MCAP logs (EM2040 fitted) — 131.90 h steady cruise over 1279-3080 rpm, flow meter vs thruster RPM."
"Fuel law (through origin) L/H = 1.3598e-03·RPM -5.1052e-07·RPM² +2.7587e-10·RPM³,"
"anchored by (0,0) and the measured 1.05 L/H station-keeping figure at ~1010 rpm."
"Speed law (through origin) KNOTS = 0.003690·RPM  (SOG-based, ±5-8% tidal)."
"Against the planner's own laws (model.json): 0.5% at 8 kt, ≤1.1% above 1600 rpm, worst 10.8% at 1280 rpm where the through-origin constraint bends toward idle."
"Drivetrain: direct drive, shaft rpm = engine rpm (trawling motor unused). 0 rpm = engine OFF = 0 L/H."
The engine idles at ~1000 rpm (≈0.95 L/H — the 1000 row) and engages at ~1100 minimum:
the 0-1000 rpm band is not an operating region; the curve merely passes through it.
† outside the cruise-measured 1400-3100 rpm window (extrapolated toward the idle/origin anchors).
"PCT/HR is computed on the 250 L nominal tank (cell B16), which implies 2.50 L per indicated point."
THE GAUGE IS MEASURED AT 2.06 ± 0.11 L/POINT (72-86% band) — 4σ below that — so the needle
falls about 21% FASTER than this column shows. Set B16 = 206 to read PCT/HR on the measured scale.
"The 25% floor is a needle position: on the measured scale a mission may spend about 154 L before reaching it, against 188 L on a linear tank."
"Gauge non-linearity is UNRESOLVED (per-day spread only 1.5σ), not established; every reading is from the top third"
of the tank and the reserve band itself has never been calibrated. See docs/DriX8_Fuel_Gauge_Linearity.docx.
Full derivation: DriX_Fuel_Efficiency_Report §5.5 and the AndyMcLeod/DriX-Fuel-Planner repo.
